id,Game Title,Year,Publisher,North America,Europe,Japan,Rest of World,Global,Number of Reviews,Summary,Wishlist,Platform,Genre,Rating
21,Yakuza 2,2007.0,,0.08,0.02,0.0,0.01,0.17,331.0,"Yakuza 2 plunges you once more into the violent Japanese underworld. In intense brutal clashes with rival gangs, the police, and the Korean mafia, you will have opportunities to dole out more brutal punishment. As the heroic Kazuma Kiryu from the original Yakuza, explore Tokyo and now Osaka. Wander through the back alleys of Japan's underworld while trying to prevent an all-out gang war in over 16 complex, cinematic chapters written by Hase Seishu, the famous Japanese author who also wrote the first Yakuza. Endless conflicts and surprise plot twists will immerse you in a dark shadowy world where only the strongest will survive.",255.0,2600,Simulator,7.168749180946305
22,Xenosaga Episode I: Der Wille zur Macht,2007.0,,0.08,0.02,0.0,0.01,0.17,412.0,"Xenosaga: Episode I - Der Wille zur Macht, the first chapter of a trilogy, is a Japanese-style sci-fi role-playing game, sharing many common themes and gameplay elements with Xenogears. The battle system is not unlike the one used in Xenogears (combo attacks, AP and EP gauges, etc.), but random encounters are eliminated. Instead, the enemies are now visible and battles can be avoided. During combat the few upcoming ally and enemy turns are shown onscreen, allowing the player to make strategic decisions based on who will act next. A rolling slot moves with each turn as well, conferring a bonus such as added damage or bonus XP for any action on that turn. If the enemy would be in position to take an advantage then the player can expend a character's ""boost"" gauge to cut in and act next, although enemies can boost as well, and enemy boosts always over-ride player boosts.
             

              Each character has a unique tree of Ether spells they can learn by spending Ether points earned in battle, with lower spells requiring spells above them to be purchased first. After a spell is purchased, so long is it does not require a unique talent of that character, the spell can also be purchased and learned by any other character that can afford double its normal cost. The Anti-Gnosis Weapon Systems can be equipped with different weapons and accessories and can be used in combat provided that a character has enough AP on that turn to board their AGWS.",575.0,2600,Adventure,7.228969274157402
23,Xenoblade Chronicles: Future Connected,2007.0,,0.08,0.02,0.0,0.01,0.17,232.0,Xenoblade Chronicles: Future Connected takes place one year after the main story and delves deeper into the relationship between Shulk and Melia in the face of a mysterious new threat.,97.0,2600,RPG,7.303584087387986
24,Xenoblade Chronicles,2007.0,,0.08,0.02,0.0,0.01,0.17,828.0,"Xenoblade Chronicles follows Shulk and his band of friends as they search for answers about the mysterious ""Monado"" sword and defend their homeland from violent robotic creatures known as the Mechon. The game contains an open world design and strongly emphasizes exploration due to the world's large size. The game was very well received by critics, with many citing it as a great example of innovation and improvement in Japanese role-playing video games. The game has spawned a sub-series of the larger ""Xeno"" series, including Xenoblade Chronicles X (Wii U) and Xenoblade Chronicles 2 (Switch).",732.0,2600,Adventure,7.2359052191354705
25,Assassin's Creed Odyssey,2007.0,,0.08,0.02,0.0,0.01,0.17,772.0,"Write your own epic odyssey and become a legendary Spartan hero in Assassin's Creed Odyssey, an inspiring adventure where you must forge your destiny and define your own path in a world on the brink of tearing itself apart. Influence how history unfolds as you experience a rich and ever-changing world shaped by your decisions.",746.0,2600,RPG,7.289665916205382
26,Sonic Frontiers,2007.0,,0.08,0.02,0.0,0.01,0.17,974.0,"Worlds will collide in Sonic the Hedgehog’s newest adventure.
             

              An experience like never before, accelerate to new heights and experience the thrill of high velocity open-zone freedom. Battle powerful enemies as you speed through the Starfall Islands - landscapes brimming with dense forests, overflowing waterfalls, sizzling deserts and more!",1.8K,2600,Adventure,7.127095683305255
27,World of Warcraft,2007.0,,0.08,0.02,0.0,0.01,0.17,369.0,"World of Warcraft is a massively multiplayer online roleplaying game (MMORPG) set in the Warcraft universe. Players assume the roles of Warcraft heroes as they explore, adventure, and quest across a vast world. Being ""Massively Multiplayer,"" World of Warcraft allows thousands of players to interact within the same world. Whether adventuring together or fighting against each other in epic battles, players will form friendships, forge alliances, and compete with enemies for power and glory.",74.0,2600,RPG,7.237720120135823
28,Toy Story 2: Buzz Lightyear to the Rescue!,2007.0,,0.08,0.02,0.0,0.01,0.17,245.0,"Woody has been stolen from the bedroom, ready to be sold to the highest bidder by an evil toy collector. It's up to good friend Buzz Lightyear to fight his way through from the bedroom to the outside world in order to save Woody from the toy market and bring him home. All of the character from the 3D animated movie appear through-out the side scroller to help Buzz get to where he is needed. Along with the use of his cannon, Buzz can jump to hard to reach places, also useful in collecting the hidden coins that open bonus levels.",117.0,2600,Adventure,7.205139349787386
29,Wolfenstein: The New Order,2014.0,Bethesda Softworks,0.18,0.19,0.0,0.04,0.41,794.0,"Wolfenstein: The New Order is an action-adventure shooter game played from a first-person perspective. It is the semi-sequel to 2009's Wolfenstein, however utilizes very little from the game and drops any direct references to veil or supernatural.
             

              To progress through the story, the player battle enemies throughout levels. The game utilizes a health system in which players' health is divided into separate sections that regenerate; if an entire section is lost, the player must use a health pack to replenish the missing health. In combat, a cover system can be used as assistance against enemies. The player have the ability to lean around, over, and under cover, which can be used as a tactical advantage during shootouts and stealth levels. The game gives the player a wide variety of weapon optionsâ€”they can be found on the ground, retrieved from dead enemies, or removed from their stationary position and carried around.",722.0,X360,Shooter,7.069395826495783
30,Wolfenstein II: The New Colossus,2007.0,,0.08,0.02,0.0,0.01,0.17,540.0,"Wolfenstein II: The New Colossus is the eleventh installment of the Wolfenstein series and a sequel to the 2014's Wolfenstein: The New Order. The game follows the main protagonist, William Joseph ""B.J."" Blazkowicz, in his efforts to ignite a Second American Revolution.
             

              The game is played from a first-person perspective and most of its levels are navigated on foot. The story is arranged in chapters, which players complete in order to progress. A binary choice in the prologue alters the game's entire storyline; some characters and small plot points are replaced throughout the timelines. The game features a variety of weapons, most of which can be dual wielded. A cover system is also present.",675.0,2600,Adventure,7.2404044638386384
31,Pac-Man World Re-Pac,2007.0,,0.08,0.02,0.0,0.01,0.17,161.0,"With polished graphics, enhanced gameplay, and updated features, Pac-Man World Re-Pac is action/platforming fun for both experienced Pac-fans and new Pac-thusiasts the world over!",294.0,2600,Arcade,7.280526818260758
32,Bloodborne: Game of the Year Edition,2007.0,,0.08,0.02,0.0,0.01,0.17,238.0,"With new story details, learn the tale of hunters who once made Yharnam their hunting grounds, meet new NPCs, and discover another side of the history and world of Bloodborne. Includes:
              
              The Original Bloodborne Experience / Bloodborne: The Old Hunters Expansion / Bloodborne: The Old Hunters",255.0,2600,RPG,7.231580844051534
33,Borderlands,2007.0,,0.08,0.02,0.0,0.01,0.17,484.0,"With its addictive action, frantic first-person shooter combat, massive arsenal of weaponry, RPG elements and four-player co-op, Borderlands is a breakthrough experience that challenges all the conventions of modern shooters. Borderlands places you in the role of a mercenary on the lawless and desolate planet of Pandora, hell-bent on finding a legendary stockpile of powerful alien technology known as The Vault.
             

              Role Playing Shooter (RPS) - combines frantic first-person shooting action with accessible role-playing character progression.
             

              Co-Op Frenzy - Fly solo in single player or drop in and out with up to 4 Player Co-Op online for a maniacal multiplayer experience.
             

              Bazillions of Guns - Gun lust fulfilled with rocket-launching shotguns, enemy-torching revolvers, SMGs that fire lightning rounds, and tons more.
             

              Radical Art Style - New visual style combines traditional rendering techniques with hand-drawn textures to create a unique and eye-catching spin on the First Person genre.
             

              Intense Vehicular Combat - Get behind the wheel and engage in intense vehicle-to-vehicle combat.",450.0,2600,RPG,7.293998103967571
34,The Missing: J.J. Macfield and the Island of Memories,2007.0,,0.08,0.02,0.0,0.01,0.17,241.0,"Why did Emily go missing? What is going on in this world? Why does she suddenly have these strange abilities? A profound story of regeneration and self-discovery.
             

              This is a title by Swery, the creator of Deadly Premonition and D4.",366.0,2600,Platform,7.049627548611404
35,Megami Ibunroku Persona,2007.0,,0.08,0.02,0.0,0.01,0.17,16.0,"While the West got Persona: Revelations, an Americanized port for the Playstation, Japan got its first Persona game under Megami Ibunroku Persona. The West eventually got a more faithful and enhanced remake on the Playstation Portable titled, Shin Megami Tensei: Persona with changed UI and music.
             

              This 1996 Atlus role-playing game takes you on an adventure throughout Mikage-cho, where your classmate, Maki Sonomura, suddenly goes missing. Battle against demons as you fight your way to the suspicious SEBEC branch president, Takahisa Kandori. Additionally, join the battle back at St. Hermelin and rival against the Snow Queen as she freezes the school and possesses your beloved homeroom teacher, Ms. Saeko.",15.0,2600,RPG,7.184016976980646
36,Katamari Damacy Reroll,2007.0,,0.08,0.02,0.0,0.01,0.17,576.0,"When the King of All Cosmos accidentally destroys all the stars in the sky, he orders you, his pint-sized princely son, to put the twinkle back in the heavens above. Join the King and Prince of Cosmos on their wacky adventure to restore the stars at home or on the go – now in full HD!",513.0,2600,Adventure,7.345550236413644
37,Sonic Lost World,2013.0,Sega,0.24,0.15,0.07,0.03,0.49,395.0,"When the Deadly Six threaten to destroy his world, Sonic’s new moves & power-ups are the only way to defeat them before it’s too late!
             

              This is the first out of the three titles of Sega and Nintendo's exclusive collaboration, the others being Mario & Sonic at the Sochi 2014 Olympic Winter Games and Sonic Boom: Rise of Lyric/Sonic Boom: Shattered Crystal.",214.0,3DS,Platform,7.870385659772742
38,Chrono Trigger,2007.0,,0.08,0.02,0.0,0.01,0.17,295.0,"When a newly developed teleportation device malfunctions at the Millennial Fair, young Crono must travel through time to rescue his misfortunate companion from an intricate web of past and present perils. The swashbuckling adventure that ensues soon unveils an evil force set to destroy the world, triggering Crono's race against time to change the course of history and bring about a brighter future.",499.0,2600,Adventure,7.315226440525104
39,Gal Guardians: Demon Purge,2007.0,,0.08,0.02,0.0,0.01,0.17,39.0,"When a demon's castle darkens the land, two sisters challenge its halls. Together they can break the curse.
             

              Players take control of the two sisters with different attacks and capabilities to challenge the demon castle and the bosses waiting within. Discover new routes through the castle using the sisters' unique abilities!
             

              The stars of Grim Guardians are the long-distance focused ""Shinobu Kamizono"" and the close-range brawler ""Maya Kamizono."" Players will need to consider the situation when choosing which sister to control as they make their way through the castle, investigating the mystery of what happened to their school and its students.
             

              Other features include 2-player co-op with special actions, extensive difficulty options with the ""Style System,"" unique changes on repeat plays, and most importantly the quality and challenge players have come to expect from Inti Creates titles, this time with a new gothic horror aesthetic.",150.0,2600,Adventure,7.134004013529401
40,Faith: The Unholy Trinity,2007.0,,0.08,0.02,0.0,0.01,0.17,85.0,"What you are about to do has not been approved by the Vatican. As a young priest, struggle against demons, insane cultists, and your own weakening faith in this pixel horror game inspired by the era of classic 8-bit gaming and the ""Satanic Scare"" of the 1980s.",283.0,2600,Indie,7.329626308150263
41,Wonderful Everyday: Down the Rabbit-Hole,2007.0,,0.08,0.02,0.0,0.01,0.17,269.0,"What will you do when the last sky comes? The story follows a group of Tokyo high school students through a mystery revolving a prophecy about the end of the world and they trying to find their own ""Wonderful Everyday"". Wonderful Everyday is a remake of the game Endsky (Tsui no Sora), a mystery game released in 1999 inspired by the philosophy of Wittgenstein and Nietzsche. Wonderful Everyday consists of eight chapters: Down the Rabbit-Hole I, Down the Rabbit-Hole II, It's My Own Invention, Looking-glass Insects, Jabberwocky I, Which Dreamed It, Jabberwocky II and Knockin' on Heaven's Door.",480.0,2600,Visual Novel,7.2029682804181006
42,Mass Effect,2007.0,,0.08,0.02,0.0,0.01,0.17,1.0K,"What starts as a routine mission to an agrarian outpost quickly becomes the opening salvo in an epic war. As the newly appointed Executive Officer of the SSV Normandy, you'll assemble and lead an elite squad of heroes into battle after heart-pounding battle. Each decision you make will impact not only your fate, but the destiny of the entire galaxy in the Mass Effect trilogy.
             

              Key Features:
             

              Incredible, interactive storytelling. Create and customize your own character, from Commander Shepard's appearance and skills to a personalized arsenal. Unleash devastating abilities as you command and train. Your decisions will control the outcome of each mission, your relationships with your crew and ultimately the entire war.
             

              An amazing universe to explore. From the massive Citadel to the harsh, radioactive landscape of the Krogan home world – the incredible breadth of the Mass Effect universe will blow you away. Travel to the farthest outposts aboard the SSV Normandy, the most technologically advanced ship in the galaxy. You'll follow the clues left by ancient civilizations, discover hidden bases with fantastic new tech and lead your hand-picked crew into explosive alien battles.
             

              Edge-of-your-seat excitement meets strategic combat. Find the perfect combination of squad-mates and weapons for each battle if you want to lead them to victory. Sun-Tzu's advice remains as pertinent in 2183 as it is today – know your enemy. You'll need different tactics for a squad of enemies with devastating biotic attacks than a heavily armored Geth Colossus so choose your teams wisely.",774.0,2600,RPG,7.237771090717999
43,Paper Mario: The Thousand-Year Door,2007.0,,0.08,0.02,0.0,0.01,0.17,1.3K,"What sleeps behind the door?
             

              Time passes, the pages turn… and a new chapter unfolds in an unfamiliar land! Get ready for a two-dimensional role-playing adventure for the ages as Mario returns to paper form to discover a mystery that sleeps behind an ancient, legendary portal called the Thousand-Year Door. The quest is long, the dangers many, and this time, Mario will have to make full use of his papery qualities just to survive.",1.5K,2600,Turn Based Strategy,7.241165743528064
44,Injustice: Gods Among Us,2007.0,,0.08,0.02,0.0,0.01,0.17,364.0,"What if our greatest heroes became our greatest threat? Injustice: Gods Among Us introduces a bold new franchise to the fighting game genre from NetherRealm Studios, creators of the definitive fighting game Mortal Kombat. Featuring DC Comics icons such Batman, Cyborg, The Flash, Harley Quinn, Nightwing, Solomon Grundy, Superman and Wonder Woman, the latest title from the award-winning studio presents a deep original story. Heroes and villains will engage in epic battles on a massive scale in a world where the line between good and evil has been blurred.",112.0,2600,Adventure,7.229810071006741
45,Scribblenauts,2009.0,Warner Bros. Interactive Entertainment,1.71,0.32,0.02,0.18,2.22,151.0,"What Will You Write?
             

              Help Maxwell reach the Starlite by solving each challenge. Write any object you can think of and watch it come to life. Try another word and watch an entirely different solution unfold. With your stylus and imagination, the possibilities are endless!",80.0,DS,Puzzle,8.123560955713295
46,What Remains of Edith Finch,2007.0,,0.08,0.02,0.0,0.01,0.17,1.4K,"What Remains of Edith Finch is a collection of short stories about a cursed family in Washington State.
             

              Each story offers a chance to experience the life of a different family member with stories ranging from the early 1900s to the present day. The gameplay and tone of the stories are as varied as the family members themselves. The only constants are that each is played from a first-person perspective and that each story ends with that family member's death. It's a game about what it feels like to be humbled and astonished by the vast and unknowable world around us.
             

              You'll follow Edith Finch as she explores the history of her family and tries to figure out why she's the last Finch left alive.",1.3K,2600,Adventure,7.093720310283791
47,Five Nights at Freddy's,2007.0,,0.08,0.02,0.0,0.01,0.17,460.0,"Welcome to your new summer job at Freddy Fazbear's Pizza, where kids and parents alike come for entertainment and food as far as the eye can see! The main attraction is Freddy Fazbear, of course; and his two friends. They are animatronic robots, programmed to please the crowds! The robots' behavior has become somewhat unpredictable at night however, and it was much cheaper to hire you as a security guard than to find a repairman.
             

              From your small office you must watch the security cameras carefully. You have a very limited amount of electricity that you're allowed to use per night (corporate budget cuts, you know). That means when you run out of power for the night- no more security doors and no more lights! If something isn't right- namely if Freddybear or his friends aren't in their proper places, you must find them on the monitors and protect yourself if needed!
             

              Can you survive five nights at Freddy's?",166.0,2600,Indie,7.1197376281664
48,Horizon Zero Dawn,2007.0,,0.08,0.02,0.0,0.01,0.17,1.2K,"Welcome to a vibrant world rich with the beauty of nature – but inhabited by awe-inspiring, highly advanced machines. As a young machine hunter named Aloy, you must unravel the mysteries of this world and find your own destiny.",1.4K,2600,Shooter,7.190954251879563
49,Monster Hunter: World,2007.0,,0.08,0.02,0.0,0.01,0.17,856.0,"Welcome to a new world! Take on the role of a hunter and slay ferocious monsters in a living, breathing ecosystem where you can use the landscape and its diverse inhabitants to get the upper hand. Hunt alone or in co-op with up to three other players, and use materials collected from fallen foes to craft new gear and take on even bigger, badder beasts!",861.0,2600,RPG,7.259554783926539
50,LittleBigPlanet,2008.0,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,405.0,"Welcome to LittleBigPlanet – a world of infinite possibilities, where imagination becomes reality and the powers of creation are firmly in your hands. If you can think of it, you can create it if you can create it, you can share it if you can share it, you can play it – and watch our colorful LittleBigPlanet grow and diversify!
             

              It’s a new kind of game that unleashes the creativity in everyone. Design your own character and play over 50 awesome developer levels packed with dangers to navigate, races to win and puzzles to solve. As you play you will learn the skills to build a world of your own by earning creative tools and collecting hundreds of items. Use these items and tools to shape amazing levels of your own, featuring puzzles, challenges, and enemies of your own design. When you are ready, go online to access the LBP community and Share your creations for everyone to play.
             

              LittleBigPlanet is a world with no limits – a world that’s yours to shape, build and explore.",219.0,PS3,Platform,8.70648944483408
51,Far Cry 5,2007.0,,0.08,0.02,0.0,0.01,0.17,558.0,"Welcome to Hope County, Montana, land of the free and the brave, but also home to a fanatical doomsday cult known as The Project at Eden’s Gate that is threatening the community's freedom. Stand up to the cult’s leader, Joseph Seed and the Heralds, and spark the fires of resistance that will liberate the besieged community.
             

              In this expansive world, your limits and creativity will be tested against the biggest and most ruthless baddest enemy Far Cry has ever seen. It’ll be wild and it’ll get weird, but as long as you keep your wits about you, the residents of Hope County can rest assured knowing you’re their beacon of hope.",470.0,2600,Shooter,7.0701033027679046
52,Five Nights at Freddy's 2,2007.0,,0.08,0.02,0.0,0.01,0.17,270.0,"Welcome back to the new and improved Freddy Fazbear's Pizza!
             

              In Five Nights at Freddy's 2, the old and aging animatronics are joined by a new cast of characters. They are kid-friendly, updated with the latest in facial recognition technology, tied into local criminal databases, and promise to put on a safe and entertaining show for kids and grown-ups alike!
             

              What could go wrong?
             

              As the new security guard working nights, your job is to monitor cameras and make sure nothing goes wrong after-hours. The previous guard has complained about the characters trying to get into the office (he has since been moved to day-shift). So to make your job easier, you've been provided with your very own empty Freddy Fazbear head, which should fool the animatronic characters into leaving you alone if they should accidentally enter your office.
             

              As always, Fazbear Entertainment is not responsible for death or dismemberment.",119.0,2600,Strategy,7.286095651018535
53,We Love Katamari,2005.0,Electronic Arts,0.26,0.2,0.0,0.07,0.52,429.0,"We Love Katamari, is a third-person puzzle-action video game where the player controls the Prince, the 5-centimeter-tall son of the god-like entity the King of All Cosmos, who rolls around a ""katamari"", a magical ball that causes objects smaller than it to attach to it. Throughout each level, the play must collect objects in order to fulfill objectives set by the prince's father.",410.0,PS2,Puzzle,6.192943808753622
54,We Love Katamari Reroll + Royal Reverie,2007.0,,0.08,0.02,0.0,0.01,0.17,51.0,We Love Katamari Reroll + Royal Reverie is a remake of the PS2 game We Love Katamari.,291.0,2600,Puzzle,6.4381710435349815
55,WarioWare: Smooth Moves,2006.0,Nintendo,0.87,1.06,0.73,0.26,2.92,319.0,"Wario and his pals learn fun, wacky moves after discovering a strange book and a mystical device called the Form Baton. Familiar characters from the WarioWare universe will return to this installment and some new ones will appear. Players must clear fast-paced sets of microgames, changing the way they hold the Wii Remote each time.",189.0,Wii,Puzzle,8.272586810454946
56,Warcraft III: The Frozen Throne,2003.0,Activision,0.58,0.87,0.0,0.09,1.54,159.0,"Warcraft III: The Frozen Throne adds a host of new features to the game, including four new campaigns that take you across the frozen continent of Northrend. Explore new maps and master new units such as the Troll Bat Riders, the Blood Elf Spell Breakers, and the destructive Mountain Giants.",73.0,PC,Strategy,7.318061433570146
57,Wanted: Dead,2007.0,,0.08,0.02,0.0,0.01,0.17,81.0,"Wanted: Dead promises ""spectacular melee combat and exciting gunplay,"" and is set in a ""dark and dangerous version of science-fiction Hong Kong where you will need sharpened skills to survive.""",212.0,2600,Adventure,7.321317778293822
58,Portal,2007.0,,0.08,0.02,0.0,0.01,0.17,2.0K,"Waking up in a seemingly empty laboratory, the player is made to complete various physics-based puzzle challenges through numerous test chambers in order to test out the new Aperture Science Handheld Portal Device, without an explanation as to how, why or by whom.",1.1K,2600,Shooter,7.2237323153863615
59,God of War: Ascension,2007.0,,0.08,0.02,0.0,0.01,0.17,318.0,"Vengeance is born in the fires of betrayal in this prequel to the best-selling God of War franchise. Six months have passed since Kratos stood over the bodies of his wife and child, his hands stained with their blood - tricked by Ares into murdering the only people he ever loved. Swearing to avenge them, Kratos broke the blood oath that bound him to Ares, but oaths to Olympus are not so easily broken... Sentenced to an eternity chained within a prison for the living damned, Kratos battles insanity at the hands of the Furies. He will be tested as he seeks freedom, redemption for his sins, and the clarity to avenge his family.",351.0,2600,Brawler,7.108061097777792
60,Valorant,2007.0,,0.08,0.02,0.0,0.01,0.17,291.0,"Valorant is a character-based 5v5 tactical shooter set on the global stage. Outwit, outplay, and outshine your competition with tactical abilities, precise gunplay, and adaptive teamwork.",110.0,2600,Shooter,7.239354347676159
61,Valheim,2007.0,,0.08,0.02,0.0,0.01,0.17,210.0,"Valheim is a brutal exploration and survival game for 1-10 players set in a procedurally-generated world inspired by Norse mythology. Craft powerful weapons, construct longhouses, and slay mighty foes to prove yourself to Odin!",276.0,2600,Adventure,7.382238244633274
62,Batman: Arkham Asylum,2007.0,,0.08,0.02,0.0,0.01,0.17,1.4K,"Using a great variety of gadgets you must make your way around the island, and the asylums halls to find and stop the joker. The game uses a 3-button combat system, but with a great number of gadget abilites which Batman can unlock. This makes for a very cinematic combat experience when fighting the Joker's goons.",672.0,2600,Adventure,7.16102997425222
